1,3,0,1
2,3,0,1
3,3,0,1
4,3,0,1
5,3,0,1
6,3,0,1
7,3,0,1
8,3,0,1
9,3,0,0
10,3,0,0
11,3,0,0
12,3,0,0
13,3,0,0
14,3,0,0
15,3,0,0
16,8,0,2
17,8,0,2
18,8,0,2
19,8,0,2
20,8,0,2
21,8,0,2
22,8,0,2
23,8,0,2
24,8,0,2
25,8,0,0
26,8,0,0
27,8,0,0
28,8,0,0
29,8,0,0
30,8,0,0
31,13,0,5
32,15,0,7
33,16,0,8
34,18,0,10
35,18,0,10
36,19,0,11
37,19,0,11
38,20,0,12
39,20,0,12
40,20,0,12
41,21,0,13
42,22,0,14
43,22,0,14
44,22,0,14
45,25,0,17
46,27,0,19
47,28,0,16
48,28,0,16
49,28,0,16
50,30,0,17
51,32,0,17
52,34,0,16
53,36,0,18
54,37,0,19
55,39,0,21
56,40,0,22
57,42,0,20
58,45,0,22
